language,sentence,n,rand_edgelist,root
Galician,871,29,"[(18, 25), (22, 17), (6, 18), (10, 26), (4, 21), (29, 12), (27, 11), (26, 19), (23, 5), (29, 18), (9, 14), (18, 4), (21, 13), (29, 8), (21, 7), (27, 22), (14, 1), (5, 24), (8, 28), (10, 28), (9, 6), (6, 20), (12, 16), (2, 14), (5, 15), (21, 22), (15, 18), (3, 26)]",6
Galician,872,11,"[(9, 3), (8, 1), (6, 11), (7, 4), (9, 6), (2, 7), (7, 10), (5, 10), (1, 10), (1, 11)]",10
Galician,873,16,"[(8, 16), (10, 5), (1, 3), (16, 6), (11, 9), (6, 12), (11, 13), (15, 14), (3, 10), (6, 7), (8, 14), (14, 2), (5, 4), (7, 9), (14, 10)]",10
Galician,877,18,"[(9, 14), (5, 11), (4, 16), (11, 1), (9, 11), (4, 1), (10, 8), (6, 14), (7, 16), (17, 6), (14, 12), (10, 7), (11, 3), (13, 7), (9, 2), (15, 4), (18, 9)]",14
Galician,878,18,"[(8, 4), (14, 13), (13, 4), (7, 11), (7, 15), (18, 7), (10, 16), (10, 5), (12, 14), (9, 3), (6, 2), (3, 1), (7, 9), (14, 17), (6, 12), (10, 4), (6, 18)]",9
Galician,880,10,"[(3, 7), (10, 5), (4, 5), (5, 1), (7, 1), (10, 6), (8, 3), (9, 6), (6, 2)]",2
Galician,881,24,"[(21, 6), (9, 6), (23, 11), (20, 24), (13, 2), (2, 20), (21, 1), (17, 19), (22, 19), (7, 3), (14, 8), (11, 3), (17, 15), (19, 5), (12, 10), (16, 6), (6, 3), (11, 18), (17, 14), (22, 11), (4, 21), (19, 10), (20, 14)]",22
Galician,888,32,"[(25, 29), (30, 9), (3, 31), (6, 10), (22, 32), (28, 15), (17, 12), (20, 9), (7, 19), (7, 8), (9, 14), (7, 15), (30, 31), (11, 10), (25, 5), (10, 23), (9, 27), (12, 3), (25, 14), (8, 22), (10, 1), (21, 18), (26, 21), (19, 21), (7, 4), (28, 16), (30, 6), (22, 20), (24, 32), (26, 13), (16, 2)]",30
Galician,889,17,"[(14, 3), (10, 14), (17, 16), (17, 7), (4, 5), (15, 17), (10, 4), (11, 13), (6, 5), (12, 16), (1, 2), (12, 6), (1, 8), (9, 4), (6, 8), (17, 11)]",8
Galician,891,20,"[(3, 13), (8, 1), (2, 17), (17, 20), (11, 17), (6, 17), (19, 7), (9, 20), (15, 5), (17, 7), (12, 13), (4, 6), (7, 1), (14, 4), (19, 5), (10, 2), (7, 18), (9, 3), (16, 13)]",9
Galician,893,25,"[(15, 16), (1, 25), (5, 19), (21, 7), (21, 20), (4, 20), (17, 23), (18, 2), (5, 9), (1, 16), (16, 11), (7, 22), (6, 12), (3, 13), (20, 3), (8, 25), (14, 7), (3, 9), (5, 12), (22, 24), (14, 17), (20, 10), (22, 25), (11, 2)]",17
Galician,895,12,"[(8, 5), (3, 7), (7, 1), (10, 7), (7, 8), (10, 9), (4, 5), (12, 10), (10, 6), (11, 2), (2, 6)]",7
Galician,898,19,"[(16, 11), (2, 10), (15, 3), (16, 9), (14, 4), (14, 7), (14, 13), (19, 2), (8, 17), (15, 2), (10, 6), (19, 5), (1, 5), (16, 13), (5, 12), (18, 11), (17, 16), (16, 10)]",16
Galician,899,11,"[(5, 6), (7, 4), (4, 3), (1, 7), (10, 6), (6, 2), (11, 2), (9, 1), (7, 8), (6, 7)]",6
Galician,900,7,"[(2, 5), (3, 4), (2, 6), (1, 2), (2, 3), (7, 2)]",3
Galician,903,21,"[(10, 12), (5, 14), (15, 19), (17, 19), (9, 18), (19, 1), (5, 6), (19, 2), (12, 13), (11, 6), (11, 16), (11, 3), (5, 20), (7, 16), (19, 21), (13, 8), (11, 17), (7, 9), (4, 7), (13, 1)]",16
Galician,905,19,"[(5, 13), (10, 11), (6, 3), (18, 15), (16, 5), (3, 17), (16, 15), (5, 9), (7, 14), (2, 4), (11, 19), (7, 12), (8, 7), (7, 2), (1, 3), (11, 1), (4, 6), (16, 1)]",1
Galician,906,19,"[(13, 14), (3, 2), (12, 4), (18, 16), (17, 13), (9, 8), (16, 19), (12, 17), (15, 6), (2, 7), (6, 7), (3, 16), (16, 10), (5, 9), (11, 16), (14, 6), (1, 4), (10, 5)]",7
Galician,911,10,"[(9, 8), (10, 8), (2, 1), (6, 3), (6, 5), (4, 10), (2, 8), (5, 1), (6, 7)]",5
Galician,912,7,"[(4, 2), (5, 3), (6, 2), (1, 6), (4, 3), (4, 7)]",4
Galician,913,29,"[(11, 7), (29, 18), (14, 17), (19, 21), (5, 26), (24, 10), (1, 7), (4, 12), (19, 15), (29, 3), (16, 21), (28, 20), (21, 9), (23, 20), (6, 2), (22, 25), (21, 6), (24, 2), (28, 10), (21, 27), (3, 22), (14, 8), (16, 26), (29, 19), (12, 15), (7, 2), (13, 26), (1, 14)]",19
Galician,918,21,"[(15, 14), (19, 4), (3, 19), (6, 7), (21, 2), (13, 4), (17, 1), (16, 20), (21, 3), (1, 4), (14, 12), (12, 7), (3, 7), (20, 9), (3, 5), (14, 18), (19, 8), (3, 11), (20, 10), (20, 21)]",3
Galician,920,27,"[(17, 3), (15, 17), (6, 12), (16, 27), (5, 25), (18, 23), (24, 6), (21, 14), (4, 27), (23, 10), (15, 1), (24, 11), (1, 14), (10, 21), (12, 17), (27, 6), (22, 2), (1, 13), (24, 7), (1, 19), (26, 27), (23, 20), (9, 17), (11, 2), (2, 5), (16, 8)]",6
Galician,924,17,"[(15, 5), (16, 13), (16, 12), (1, 17), (2, 7), (14, 4), (9, 6), (11, 9), (17, 3), (5, 9), (10, 9), (7, 3), (17, 6), (10, 4), (12, 7), (8, 6)]",10
Galician,927,21,"[(8, 18), (11, 9), (7, 13), (17, 5), (14, 11), (7, 12), (21, 16), (13, 10), (21, 14), (18, 12), (17, 2), (18, 11), (4, 17), (19, 21), (1, 7), (17, 11), (18, 6), (7, 20), (16, 15), (10, 3)]",13
Galician,929,22,"[(12, 8), (1, 8), (5, 19), (3, 9), (15, 3), (19, 21), (18, 13), (7, 15), (3, 4), (13, 19), (7, 21), (10, 2), (16, 19), (14, 18), (2, 20), (17, 18), (13, 6), (2, 17), (9, 8), (11, 22), (22, 12)]",3
Galician,931,15,"[(1, 10), (1, 4), (10, 2), (13, 7), (2, 9), (14, 1), (7, 15), (3, 12), (10, 12), (7, 2), (8, 1), (6, 9), (5, 11), (11, 15)]",10
Galician,934,20,"[(15, 7), (4, 6), (3, 12), (2, 11), (9, 15), (14, 5), (20, 10), (11, 13), (3, 13), (11, 10), (20, 15), (5, 10), (11, 18), (14, 1), (16, 13), (12, 17), (8, 15), (6, 19), (2, 6)]",11
Galician,937,17,"[(17, 12), (11, 16), (8, 7), (13, 1), (6, 4), (15, 2), (2, 8), (4, 9), (11, 17), (11, 5), (2, 10), (7, 14), (7, 9), (11, 3), (3, 13), (12, 15)]",9
Galician,938,27,"[(17, 24), (18, 20), (8, 19), (10, 16), (3, 25), (23, 18), (27, 2), (13, 3), (3, 15), (26, 6), (2, 5), (3, 6), (9, 5), (20, 12), (21, 9), (23, 11), (3, 4), (7, 10), (24, 6), (8, 20), (14, 23), (1, 25), (1, 14), (21, 22), (1, 2), (13, 10)]",1
Galician,940,21,"[(14, 7), (6, 15), (19, 13), (13, 2), (4, 2), (9, 3), (6, 1), (19, 16), (17, 1), (11, 9), (21, 5), (19, 5), (20, 21), (12, 7), (16, 18), (21, 11), (2, 8), (21, 10), (13, 14), (15, 21)]",13
Galician,941,18,"[(18, 7), (10, 14), (11, 15), (4, 10), (15, 4), (3, 12), (7, 6), (5, 11), (4, 3), (4, 18), (13, 9), (2, 16), (7, 2), (8, 18), (15, 9), (6, 1), (18, 17)]",4
Galician,942,23,"[(22, 8), (20, 12), (23, 18), (19, 7), (17, 5), (14, 8), (10, 12), (7, 4), (21, 19), (11, 6), (21, 6), (7, 2), (15, 13), (2, 5), (18, 8), (15, 5), (23, 16), (1, 3), (13, 20), (9, 6), (17, 22), (1, 23)]",19
Galician,943,31,"[(4, 30), (24, 27), (20, 15), (30, 7), (21, 26), (4, 6), (22, 12), (22, 26), (17, 23), (19, 4), (25, 1), (24, 13), (27, 30), (31, 2), (30, 31), (23, 7), (5, 30), (12, 1), (18, 27), (30, 11), (30, 29), (21, 28), (14, 5), (22, 10), (7, 15), (9, 15), (8, 14), (3, 7), (11, 1), (16, 18)]",30
Galician,944,26,"[(7, 26), (19, 20), (11, 16), (18, 26), (2, 23), (20, 25), (25, 12), (23, 14), (1, 17), (17, 6), (6, 12), (5, 23), (21, 10), (17, 3), (1, 8), (4, 21), (9, 16), (7, 22), (15, 22), (19, 18), (24, 23), (13, 20), (7, 10), (7, 24), (11, 20)]",7
Galician,945,16,"[(12, 6), (9, 6), (14, 9), (14, 7), (1, 15), (9, 15), (13, 3), (13, 9), (13, 10), (12, 8), (7, 5), (2, 7), (11, 16), (1, 4), (6, 16)]",9
Galician,947,13,"[(9, 10), (4, 10), (12, 3), (5, 1), (8, 3), (13, 12), (1, 7), (7, 8), (11, 8), (8, 6), (8, 9), (2, 5)]",5
Galician,949,23,"[(15, 19), (10, 19), (17, 22), (5, 2), (23, 18), (7, 5), (8, 12), (12, 9), (19, 11), (19, 2), (16, 14), (13, 20), (6, 21), (14, 22), (22, 2), (19, 6), (3, 10), (19, 1), (8, 6), (6, 4), (20, 18), (23, 12)]",2
Galician,951,29,"[(14, 1), (22, 29), (8, 28), (21, 18), (4, 22), (26, 16), (23, 24), (26, 8), (23, 5), (11, 12), (5, 28), (14, 23), (23, 18), (8, 22), (8, 25), (12, 28), (13, 20), (10, 3), (19, 25), (14, 6), (14, 20), (3, 22), (9, 29), (14, 27), (7, 17), (22, 2), (20, 7), (15, 22)]",22
Galician,952,26,"[(18, 16), (2, 1), (17, 19), (13, 9), (13, 26), (26, 20), (16, 10), (6, 20), (5, 11), (25, 5), (21, 24), (4, 2), (1, 5), (26, 19), (20, 12), (21, 13), (25, 26), (16, 3), (22, 19), (14, 23), (17, 8), (15, 14), (26, 14), (12, 7), (14, 3)]",26
Galician,953,20,"[(9, 4), (11, 18), (12, 10), (9, 16), (9, 5), (3, 17), (6, 17), (4, 19), (15, 3), (10, 4), (20, 5), (14, 2), (17, 13), (7, 16), (8, 20), (1, 6), (1, 20), (16, 2), (17, 11)]",9
Galician,954,20,"[(9, 15), (2, 1), (5, 17), (5, 20), (13, 4), (19, 1), (10, 9), (1, 3), (9, 16), (9, 11), (5, 13), (7, 8), (11, 2), (12, 6), (18, 13), (12, 15), (7, 3), (7, 17), (7, 14)]",11
Galician,955,9,"[(2, 1), (3, 7), (5, 6), (1, 7), (7, 8), (2, 4), (6, 2), (9, 7)]",3
Galician,956,22,"[(8, 18), (8, 19), (15, 10), (21, 5), (6, 15), (1, 15), (18, 16), (4, 18), (8, 3), (22, 15), (4, 22), (14, 8), (2, 8), (22, 20), (19, 17), (12, 20), (5, 7), (2, 21), (19, 9), (18, 11), (13, 8)]",19
Galician,957,20,"[(17, 14), (20, 12), (6, 8), (4, 17), (11, 7), (12, 19), (3, 9), (11, 13), (5, 1), (7, 12), (17, 3), (9, 15), (7, 18), (9, 6), (5, 16), (7, 4), (8, 10), (8, 2), (5, 18)]",7
Galician,958,19,"[(1, 15), (18, 6), (8, 10), (10, 5), (9, 10), (16, 19), (2, 11), (13, 7), (19, 14), (11, 18), (9, 17), (10, 3), (5, 19), (6, 8), (10, 1), (13, 16), (17, 12), (4, 18)]",6
Galician,959,20,"[(18, 8), (3, 12), (9, 19), (11, 2), (3, 16), (15, 16), (14, 8), (10, 16), (7, 15), (16, 20), (5, 11), (13, 16), (9, 17), (1, 18), (3, 19), (4, 1), (7, 6), (1, 3), (5, 9)]",3
Galician,960,26,"[(2, 14), (20, 15), (14, 24), (11, 19), (23, 25), (18, 20), (20, 12), (9, 6), (17, 13), (6, 1), (26, 1), (23, 3), (14, 7), (2, 17), (21, 23), (19, 12), (4, 5), (22, 25), (17, 8), (12, 13), (23, 10), (15, 23), (16, 6), (26, 17), (5, 23)]",12
Galician,961,25,"[(4, 13), (24, 9), (8, 13), (18, 17), (21, 19), (24, 15), (7, 18), (5, 10), (25, 21), (10, 25), (12, 20), (5, 20), (11, 1), (7, 23), (13, 25), (2, 6), (2, 25), (3, 11), (16, 25), (2, 11), (17, 13), (18, 14), (22, 3), (24, 16)]",25
Galician,962,36,"[(15, 4), (29, 28), (30, 9), (18, 32), (19, 9), (9, 16), (28, 17), (8, 2), (11, 31), (2, 35), (12, 15), (31, 3), (10, 26), (28, 10), (6, 20), (21, 13), (22, 15), (32, 34), (8, 22), (19, 7), (20, 33), (17, 15), (30, 33), (25, 31), (28, 36), (24, 8), (27, 22), (33, 23), (32, 13), (1, 21), (14, 25), (35, 5), (19, 28), (21, 7), (14, 34)]",19
Galician,965,28,"[(22, 3), (14, 18), (28, 9), (4, 28), (24, 2), (8, 27), (10, 26), (1, 13), (18, 6), (27, 7), (13, 7), (12, 16), (25, 5), (11, 18), (20, 9), (10, 18), (15, 3), (20, 15), (19, 11), (25, 7), (16, 24), (6, 28), (24, 28), (26, 7), (10, 21), (17, 21), (23, 12)]",18
Galician,966,19,"[(9, 8), (6, 16), (14, 8), (1, 6), (3, 18), (18, 15), (12, 7), (2, 19), (16, 7), (17, 1), (2, 5), (14, 7), (7, 15), (10, 18), (15, 4), (19, 1), (16, 11), (13, 7)]",16
Galician,969,19,"[(13, 3), (14, 4), (15, 16), (5, 19), (7, 4), (11, 6), (7, 11), (14, 9), (19, 7), (13, 14), (17, 4), (4, 2), (4, 18), (8, 3), (1, 12), (4, 15), (14, 10), (12, 9)]",4
Galician,971,17,"[(4, 9), (2, 12), (4, 16), (15, 2), (5, 9), (6, 13), (13, 15), (6, 10), (8, 9), (1, 17), (7, 6), (8, 11), (17, 14), (8, 15), (6, 3), (14, 7)]",15
Galician,976,25,"[(15, 9), (21, 20), (15, 8), (19, 13), (15, 17), (24, 7), (23, 1), (4, 24), (12, 5), (7, 2), (17, 1), (23, 22), (13, 25), (20, 19), (13, 18), (15, 13), (10, 16), (14, 2), (8, 12), (2, 11), (7, 3), (7, 8), (6, 20), (10, 2)]",8
Galician,977,30,"[(9, 29), (1, 10), (3, 1), (15, 17), (18, 4), (2, 17), (9, 24), (4, 25), (2, 20), (11, 20), (1, 23), (21, 30), (26, 21), (20, 4), (5, 23), (22, 15), (12, 20), (24, 25), (2, 21), (28, 9), (13, 2), (16, 25), (23, 27), (14, 1), (8, 15), (10, 19), (23, 6), (4, 1), (12, 7)]",2
Galician,978,22,"[(13, 3), (9, 16), (3, 1), (3, 19), (21, 22), (20, 18), (7, 4), (5, 14), (11, 3), (16, 6), (15, 7), (2, 19), (21, 19), (18, 22), (17, 6), (14, 12), (12, 21), (14, 8), (16, 22), (1, 15), (10, 8)]",21
Galician,980,34,"[(32, 9), (11, 12), (26, 23), (1, 20), (3, 6), (8, 30), (27, 4), (11, 8), (3, 21), (13, 14), (31, 2), (7, 24), (11, 18), (29, 34), (28, 19), (20, 21), (17, 34), (1, 8), (31, 9), (25, 8), (28, 27), (23, 22), (29, 7), (22, 4), (10, 9), (33, 15), (16, 11), (34, 18), (15, 7), (10, 3), (25, 26), (2, 5), (14, 26)]",27
Galician,981,17,"[(5, 16), (6, 7), (11, 13), (1, 13), (2, 9), (2, 11), (10, 16), (3, 9), (6, 13), (11, 17), (13, 12), (10, 14), (8, 1), (14, 2), (2, 15), (4, 16)]",6
Galician,983,14,"[(5, 9), (7, 14), (1, 12), (4, 11), (13, 5), (3, 9), (1, 3), (13, 2), (8, 7), (6, 9), (4, 3), (12, 14), (10, 3)]",14
Galician,984,15,"[(8, 3), (11, 5), (12, 6), (7, 14), (14, 11), (9, 1), (2, 9), (15, 14), (2, 4), (10, 11), (12, 3), (5, 4), (13, 1), (12, 1)]",12
Galician,988,29,"[(7, 8), (15, 18), (1, 12), (27, 19), (27, 3), (25, 10), (27, 13), (3, 14), (28, 29), (16, 28), (4, 15), (22, 7), (26, 6), (18, 24), (15, 23), (26, 18), (7, 11), (19, 12), (2, 6), (15, 22), (20, 18), (25, 26), (21, 20), (1, 15), (21, 29), (18, 5), (17, 20), (12, 9)]",18
Galician,989,26,"[(13, 14), (9, 13), (12, 6), (17, 21), (6, 26), (9, 5), (10, 15), (18, 10), (19, 7), (15, 12), (21, 11), (25, 4), (5, 24), (20, 5), (4, 2), (21, 13), (3, 18), (23, 15), (1, 2), (24, 22), (18, 7), (1, 16), (4, 17), (21, 8), (13, 18)]",7
Galician,990,35,"[(2, 7), (3, 33), (5, 9), (29, 33), (32, 22), (2, 19), (17, 28), (30, 23), (10, 3), (6, 23), (3, 5), (28, 15), (30, 24), (21, 2), (6, 33), (26, 11), (25, 15), (21, 35), (30, 25), (1, 24), (35, 34), (27, 4), (26, 9), (27, 13), (20, 32), (14, 30), (8, 15), (3, 31), (20, 12), (22, 2), (11, 18), (28, 35), (29, 16), (3, 4)]",30
Galician,992,19,"[(11, 10), (11, 15), (13, 1), (1, 17), (5, 1), (7, 14), (12, 1), (7, 9), (19, 5), (9, 18), (4, 10), (10, 2), (7, 12), (6, 1), (16, 17), (19, 8), (3, 17), (2, 7)]",7
Galician,994,48,"[(12, 17), (11, 39), (26, 48), (47, 14), (19, 9), (6, 15), (41, 15), (11, 31), (4, 37), (24, 23), (48, 39), (10, 48), (30, 16), (48, 34), (17, 19), (31, 7), (38, 9), (31, 15), (27, 3), (5, 19), (18, 24), (25, 28), (25, 1), (12, 27), (40, 20), (41, 46), (37, 32), (14, 10), (21, 4), (41, 25), (43, 8), (32, 24), (22, 25), (41, 29), (42, 39), (42, 33), (27, 21), (36, 27), (44, 15), (25, 40), (36, 8), (35, 24), (8, 22), (16, 29), (45, 14), (13, 42), (2, 30)]",8
Galician,995,25,"[(13, 21), (17, 20), (8, 12), (12, 15), (18, 4), (14, 23), (13, 12), (24, 9), (1, 25), (14, 2), (21, 3), (7, 8), (6, 13), (21, 19), (11, 3), (16, 4), (11, 20), (14, 1), (5, 22), (12, 22), (14, 12), (14, 24), (10, 7), (23, 16)]",8
English,2,16,"[(1, 6), (4, 9), (15, 3), (4, 3), (5, 14), (6, 2), (13, 15), (9, 11), (1, 10), (1, 13), (11, 16), (7, 8), (12, 3), (2, 14), (4, 8)]",1
English,5,11,"[(5, 7), (4, 10), (1, 8), (11, 8), (9, 3), (11, 10), (10, 2), (6, 3), (3, 1), (3, 7)]",11
English,8,32,"[(26, 21), (32, 14), (5, 6), (28, 6), (18, 30), (20, 26), (15, 2), (29, 24), (18, 6), (1, 21), (1, 25), (9, 27), (19, 7), (18, 13), (31, 23), (18, 3), (8, 11), (10, 20), (24, 12), (18, 24), (26, 15), (19, 31), (22, 21), (17, 26), (7, 30), (9, 21), (13, 16), (15, 4), (16, 25), (21, 32), (3, 11)]",18
English,11,19,"[(8, 10), (13, 3), (5, 8), (7, 11), (18, 3), (14, 15), (18, 15), (7, 2), (17, 16), (11, 9), (15, 6), (12, 8), (16, 2), (12, 18), (4, 1), (1, 7), (19, 7), (3, 7)]",7
English,12,17,"[(12, 15), (11, 13), (8, 9), (5, 3), (16, 4), (14, 3), (6, 16), (10, 15), (13, 1), (4, 13), (8, 1), (10, 9), (2, 9), (13, 7), (8, 17), (9, 5)]",8
English,14,20,"[(18, 2), (17, 1), (17, 8), (14, 17), (11, 13), (6, 13), (6, 10), (12, 19), (9, 4), (3, 13), (19, 7), (19, 16), (5, 11), (15, 18), (4, 11), (4, 20), (1, 16), (4, 18), (11, 14)]",11
English,16,13,"[(1, 9), (10, 12), (13, 1), (8, 1), (9, 5), (3, 13), (6, 2), (4, 12), (8, 12), (7, 10), (6, 9), (11, 5)]",12
English,21,16,"[(5, 11), (9, 11), (8, 5), (10, 2), (11, 3), (9, 2), (15, 2), (10, 4), (12, 13), (12, 7), (14, 11), (16, 4), (8, 7), (5, 1), (8, 6)]",8
English,25,13,"[(6, 13), (11, 1), (9, 3), (1, 5), (12, 9), (8, 2), (5, 13), (9, 10), (13, 2), (7, 2), (2, 4), (3, 4)]",2
English,26,14,"[(2, 3), (5, 13), (4, 11), (4, 14), (5, 7), (14, 9), (3, 4), (12, 6), (10, 12), (11, 5), (5, 8), (4, 1), (10, 2)]",4
English,27,23,"[(9, 6), (15, 1), (22, 5), (11, 2), (20, 8), (11, 12), (8, 17), (10, 17), (6, 16), (21, 22), (18, 23), (21, 18), (22, 19), (8, 1), (13, 4), (23, 4), (7, 16), (10, 3), (8, 7), (4, 2), (14, 23), (13, 17)]",2
English,29,13,"[(5, 12), (9, 3), (10, 12), (4, 3), (3, 2), (3, 6), (8, 11), (3, 5), (3, 13), (1, 11), (11, 2), (10, 7)]",11
English,30,28,"[(11, 8), (18, 10), (22, 6), (18, 12), (17, 28), (3, 15), (4, 13), (17, 2), (1, 22), (1, 9), (27, 22), (22, 21), (12, 9), (20, 4), (2, 26), (5, 16), (20, 26), (11, 26), (2, 15), (24, 18), (24, 7), (18, 4), (5, 1), (9, 19), (25, 23), (4, 25), (18, 14)]",18
English,31,23,"[(6, 16), (8, 17), (15, 6), (6, 11), (12, 5), (3, 6), (10, 3), (14, 16), (19, 12), (10, 4), (14, 20), (7, 12), (1, 12), (9, 18), (22, 11), (9, 11), (16, 23), (21, 8), (14, 2), (5, 16), (3, 8), (7, 13)]",6
English,33,17,"[(9, 11), (1, 16), (10, 3), (1, 13), (6, 1), (15, 12), (3, 5), (14, 16), (12, 2), (10, 4), (12, 8), (7, 6), (7, 17), (7, 11), (10, 12), (8, 1)]",6
English,35,17,"[(17, 13), (4, 13), (17, 10), (7, 16), (7, 10), (9, 7), (13, 14), (3, 14), (5, 2), (15, 13), (1, 15), (5, 8), (12, 2), (11, 4), (15, 12), (6, 11)]",7
English,37,17,"[(3, 14), (11, 15), (15, 12), (17, 9), (9, 12), (12, 1), (2, 16), (5, 10), (1, 8), (13, 11), (6, 5), (4, 3), (16, 14), (1, 10), (6, 7), (3, 7)]",15
English,38,7,"[(1, 2), (3, 7), (2, 3), (4, 7), (7, 5), (7, 6)]",2
English,40,12,"[(5, 7), (11, 8), (7, 8), (9, 1), (9, 6), (5, 9), (11, 4), (2, 4), (3, 2), (2, 10), (6, 12)]",5
English,43,17,"[(15, 13), (17, 3), (8, 9), (5, 12), (12, 3), (7, 15), (5, 11), (8, 1), (16, 10), (3, 16), (5, 4), (17, 1), (2, 13), (6, 3), (14, 8), (15, 6)]",5
English,45,27,"[(5, 11), (13, 7), (19, 15), (2, 17), (3, 18), (10, 11), (4, 21), (20, 22), (19, 1), (17, 20), (25, 20), (18, 4), (11, 21), (13, 14), (23, 18), (16, 5), (12, 6), (10, 8), (11, 7), (11, 24), (9, 22), (11, 26), (6, 21), (15, 27), (6, 27), (3, 20)]",11
English,46,29,"[(4, 3), (13, 16), (26, 27), (4, 22), (27, 16), (7, 5), (29, 25), (27, 19), (7, 28), (20, 19), (4, 14), (6, 9), (2, 21), (1, 19), (29, 7), (3, 2), (23, 17), (10, 29), (7, 15), (20, 9), (7, 17), (21, 10), (6, 17), (12, 13), (8, 29), (25, 18), (6, 11), (18, 24)]",3
English,47,14,"[(5, 13), (4, 6), (9, 3), (2, 12), (11, 1), (14, 13), (8, 5), (1, 7), (5, 3), (13, 10), (11, 14), (10, 12), (13, 4)]",12
English,48,27,"[(21, 27), (10, 12), (6, 22), (26, 10), (18, 15), (1, 10), (9, 13), (26, 27), (19, 20), (25, 22), (4, 5), (27, 16), (2, 13), (4, 11), (19, 24), (14, 11), (2, 18), (22, 2), (3, 8), (19, 7), (27, 7), (23, 17), (14, 10), (4, 9), (3, 6), (20, 17)]",26
English,49,20,"[(6, 4), (7, 5), (15, 10), (7, 1), (2, 9), (5, 13), (18, 5), (11, 15), (2, 20), (17, 11), (3, 9), (12, 13), (16, 4), (12, 15), (17, 8), (19, 4), (18, 16), (5, 14), (5, 3)]",9
English,51,15,"[(9, 2), (15, 5), (3, 10), (4, 13), (11, 3), (2, 11), (2, 5), (10, 12), (14, 9), (14, 6), (8, 7), (7, 2), (8, 1), (13, 6)]",9
English,57,38,"[(24, 19), (8, 23), (3, 7), (3, 17), (32, 38), (35, 11), (1, 8), (37, 15), (6, 26), (12, 7), (10, 31), (2, 21), (4, 25), (22, 16), (17, 35), (12, 4), (34, 15), (27, 32), (5, 8), (18, 8), (14, 4), (36, 35), (9, 18), (35, 34), (26, 30), (16, 37), (37, 28), (29, 26), (10, 33), (3, 13), (19, 28), (2, 23), (1, 26), (37, 9), (25, 20), (19, 27), (32, 33)]",27
English,59,21,"[(4, 14), (14, 11), (7, 19), (3, 12), (1, 16), (7, 3), (3, 20), (13, 21), (21, 19), (6, 5), (11, 5), (14, 9), (11, 8), (18, 14), (11, 15), (2, 21), (10, 20), (17, 16), (20, 17), (18, 21)]",11
English,61,14,"[(11, 10), (12, 6), (3, 13), (7, 10), (10, 8), (1, 5), (3, 4), (2, 14), (3, 2), (2, 1), (2, 12), (9, 3), (2, 7)]",2
English,62,13,"[(9, 10), (3, 8), (11, 1), (12, 6), (10, 7), (5, 12), (10, 12), (1, 5), (4, 3), (3, 2), (12, 2), (13, 12)]",12
English,66,6,"[(6, 5), (1, 4), (3, 6), (3, 1), (4, 2)]",1
English,69,11,"[(2, 11), (5, 11), (3, 2), (2, 1), (7, 11), (8, 4), (2, 8), (6, 3), (10, 2), (3, 9)]",2
English,71,21,"[(15, 19), (9, 11), (3, 14), (8, 7), (11, 13), (19, 2), (16, 11), (11, 21), (6, 19), (15, 5), (16, 1), (18, 3), (6, 20), (15, 12), (16, 10), (4, 12), (15, 14), (9, 4), (13, 7), (17, 14)]",11
English,73,20,"[(3, 17), (20, 16), (3, 4), (17, 9), (11, 3), (18, 14), (10, 6), (9, 7), (13, 20), (1, 7), (5, 12), (8, 16), (5, 15), (17, 20), (6, 7), (14, 10), (2, 18), (7, 19), (18, 12)]",7
English,76,20,"[(12, 11), (19, 8), (11, 3), (7, 8), (6, 17), (14, 11), (19, 14), (9, 17), (14, 4), (6, 7), (9, 2), (7, 15), (16, 9), (7, 1), (20, 12), (18, 9), (13, 18), (10, 13), (5, 13)]",12
English,77,15,"[(3, 7), (4, 12), (15, 13), (9, 4), (10, 1), (12, 6), (4, 15), (15, 1), (12, 2), (11, 7), (3, 14), (1, 8), (7, 13), (15, 5)]",1
English,78,14,"[(10, 1), (5, 9), (14, 1), (2, 14), (7, 11), (4, 9), (6, 10), (8, 12), (13, 7), (10, 12), (6, 11), (7, 3), (7, 4)]",12
English,82,23,"[(5, 12), (7, 5), (5, 3), (19, 12), (13, 18), (2, 8), (15, 20), (11, 6), (18, 1), (20, 12), (22, 3), (9, 12), (16, 2), (15, 8), (6, 13), (10, 23), (13, 14), (1, 10), (5, 23), (4, 1), (17, 11), (21, 10)]",5
English,83,33,"[(21, 5), (23, 11), (3, 15), (6, 18), (30, 24), (18, 8), (16, 15), (9, 5), (29, 22), (27, 6), (3, 23), (4, 7), (4, 9), (33, 13), (22, 2), (26, 3), (22, 20), (1, 16), (19, 23), (9, 14), (1, 31), (32, 17), (18, 7), (12, 6), (29, 17), (9, 13), (28, 16), (20, 10), (33, 3), (25, 24), (14, 32), (30, 29)]",3
English,84,19,"[(17, 9), (11, 5), (16, 12), (4, 11), (17, 19), (9, 10), (6, 14), (11, 18), (13, 2), (16, 1), (1, 11), (18, 14), (16, 2), (12, 8), (19, 7), (17, 11), (14, 15), (7, 3)]",2
